Date,Point,Name,LULC_29_9_,Desc,Soil_Data_,Soil Type,xcoord,ycoord,Depth,MMRI,Bulk_density,Vol_Lab,Porosity,SMC_probe
9/12/2025,C_10,C,Crop Land,Irrigation vegetables,19,Nitisols,36.96323,-0.40536794,10,0.1,1.081855023,0.338381341,0.591752822,0.197903799
2/12/2025,C2_10,C2,Crop Land,Use of furrows for planting,20,Phaeozems,36.8760255,-0.3400686,10,0.72,1.053182663,0.32034461,0.60257258,0.225737133
14/12/2025,D_10,D,Forest Land,Under Canopy,19,Nitisols,36.97210316,-0.406234921,10,0.23,1.03502836,0.247117095,0.609423261,0.267070466
20/11/2025,D2_10,D2,Barren Land,Amboni,20,Phaeozems,36.8738731,-0.3389613,10,0.25,1.413414498,0.193658229,0.466636038,0.23
14/12/2025,E_10,E,Built up Land,Road-Murram,0,Acrisols,36.9626317,-0.3973709,10,0.33,1.455180262,0.308056101,0.450875373,0.315237133
1/12/2025,E2_10,E2,Wet Land,"crop Land, near  Mweiga river/stream",19,Nitisols,36.8648361,-0.3411669,10,0.13,0.808263276,0.410754906,0.69499499,0.353903799
1/12/2025,G2_10,G2,Crop Land,"mixed cropping, shade managements (trees)",3,Andosols,36.8627272,-0.3463086,10,0.22,0.977185847,0.181759608,0.631250624,0.219737133
2/12/2025,H_10,H,Crop Land,"Cover cropping, Mulching",19,Nitisols,36.9391593,-0.3796051,10,0.16,1.10451255,0.268123814,0.583202811,0.276237133
20/11/2025,K2_10,K2,Crop Land,"Mukima, Vegetables, mixed cropping",3,Andosols,36.8713816,-0.3526406,10,0.19,1.048002784,0.262015398,0.604527251,0.213070466
23/10/2025,L_10,L,Forest Land,"Kabiruini, next to the forest",19,Vertisols,36.93207583,-0.368816546,10,0.24,1.184254334,0.162672939,0.553111572,0.139333333
24/11/2025,L2_10,L2,Range Land,"Woodland, acacia",19,Nitisols,36.8948588,-0.3322449,10,0.15,1.229206484,0.36513897,0.536148497,0.242403799
1/12/2025,N2_10,N2,Crop Land,"Maize, Avocadoes, beans",20,Phaeozems,36.8823369,-0.3430931,10,0.26,1.039808419,0.276827945,0.607619465,0.184403799
2/12/2025,U_10,U,Forest Land,"Eucalyptus forest, canopy",19,Vertisols,36.9242604,-0.3350495,10,0.21,1.150983037,0.252962418,0.565666779,0.285403799
24/11/2025,W_10,W,Range Land,"grasses, shrubs",10,Vertisols,36.9445676,-0.3257065,10,0.32,1.218757072,0.251752019,0.540091671,0.183737133
22/10/2025,A_20,A,Range Land,"Short Grass, Tahmo Station",0,Acrisols,36.965733,-0.40388888,20,0.16,1.146674531,0.212598196,0.56729263,0.187166667
25/11/2025,A2_20,A2,Crop Land,"Miraa, Khat",10,Rhodic Nitisols,36.9453203,-0.3427627,20,0.15,1.304695948,0.242813143,0.507661906,0.244958633
22/10/2025,B_20,B,Crop Land,Fallow to Range Land,19,Nitisols,36.962685,-0.40752015,20,0.34,1.045073322,0.221035769,0.605632709,0.1835
9/12/2025,C_20,C,Crop Land,Irrigation vegetables,19,Nitisols,36.96323,-0.40536794,20,0.19,1.232959711,0.275476653,0.534732185,0.3046253
2/12/2025,C2_20,C2,Crop Land,Use of furrows for planting,20,Phaeozems,36.8760255,-0.3400686,20,0.52,1.04880959,0.288317683,0.604222796,0.274958633
14/12/2025,D_20,D,Forest Land,Under Canopy,19,Nitisols,36.97210316,-0.406234921,20,0.27,0.88107289,0.215254382,0.667519664,0.172666667
20/11/2025,D2_20,D2,Barren Land,Amboni,20,Phaeozems,36.8738731,-0.3389613,20,0.27,1.525604873,0.393286036,0.424300048,0.395958633
14/12/2025,E_20,E,Built up Land,Road-Murram,0,Acrisols,36.9626317,-0.3973709,20,0.27,1.516581204,0.237873342,0.427705206,0.205833333
1/12/2025,E2_20,E2,Wet Land,"crop Land, near  Mweiga river/stream",19,Nitisols,36.8648361,-0.3411669,20,0.26,0.947238675,0.564252234,0.642551444,0.479458633
1/12/2025,G2_20,G2,Crop Land,"mixed cropping, shade managements (trees)",3,Andosols,36.8627272,-0.3463086,20,0.29,0.926672898,0.218527102,0.650312114,0.1741253
